"model","Kest","Sensitivity","Precision","F1","cosine_R","rmse_sig","rmse_theta","rmse_Betas","sign_Betas","fp_Betas","rmse_lambda_in","rmse_lambda_out","rmse_counts_in","rmse_counts_out","time","iter","effectiveBetas","effectiveSigs","effectiveTheta","effectiveMu","effectiveSigma2","effectiveLogPost","effectiveLogLik","effectiveLogPrior","Simulation","Scenario","n","J"
"CompNMF",7,0.875,1,0.933333333333333,0.971498769295751,0.00586510869112577,119.045382915398,0.343534374391347,0,0,0.0864238544639182,0.085472263717353,0.344969861262597,0.356934323471981,0.0209731062253316,9758,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_16","S0_baseline",194182,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.96071739288394,0.00510069896712147,81.6322401082114,0.343534374391347,0,0,0.0864250812481622,0.0854417390023802,0.344970266986235,0.356922082314743,1.16397952636083,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_16","S0_baseline",194182,100
"PPF_map",8,1,1,1,0.997865096018678,0.00113237803355592,19.5677117440496,0.0103718084205699,1,0,0.00206507808436083,0.00228385216133359,0.308817695668547,0.320886029203471,5.67063966592153,270,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_16","S0_baseline",194182,100
"PPF_mcmc",8,1,1,1,0.997896941815974,0.00153200982903578,21.5930050426541,0.0115791521498514,1,0,0.00171311254764563,0.00236550491488808,0.308820310473282,0.320896186653075,27.1904517928759,NA,169.550693202707,328.886378184094,473.677301851392,1153.28325408571,1517.47224121841,150,150,150,"Simulation_16","S0_baseline",194182,100
"CompNMF",7,0.875,1,0.933333333333333,0.966100827631024,0.00522565483452691,140.542822507691,0.33743666198335,0,0,0.0884288418339082,0.0505344814357366,0.352179441953511,0.313767943873398,0.00930401881535848,4254,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_17","S0_baseline",192388,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.964521868222547,0.0049458119838567,96.5478431889011,0.33743666198335,0,0,0.0884273485789922,0.050600096019593,0.352178840671516,0.313779131266827,1.6615517338117,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_17","S0_baseline",192388,100
"PPF_map",8,1,1,1,0.998582087666956,0.00125849683728364,18.7334928159512,0.0118457572163955,1,0,0.00206219771915623,0.00193134041795652,0.31275217683233,0.299311765132627,5.23761197725932,260,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_17","S0_baseline",192388,100
"PPF_mcmc",8,1,1,1,0.998458027382396,0.00258420365629139,21.0973314160529,0.0130718922986077,1,0,0.0018925511365081,0.00188853091204657,0.312747952578969,0.299317754531581,27.5212619622548,NA,142.000265051738,352.242229570724,444.223346664785,1187.67196762132,1524.50795032161,150,160.048231864531,150,"Simulation_17","S0_baseline",192388,100
"CompNMF",7,0.75,0.857142857142857,0.8,0.955472633135047,0.00605015820938415,118.218858795499,0.378334458555174,0,0,0.129665607565124,0.0754593728708441,0.390726102653833,0.360505811574961,0.00530791680018107,3179,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_18","S0_baseline",203615,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.960158271493707,0.00606859385858305,91.7960222867507,0.378334458555174,0,0,0.129661367771114,0.0754603370858575,0.390725835591485,0.360497024068691,0.847144651412964,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_18","S0_baseline",203615,100
"PPF_map",8,1,1,1,0.998198014977408,0.00118850432201601,19.0116877796267,0.0127747704276806,0.975,0.025,0.00282022091889479,0.00373605263853824,0.31710641075174,0.326319439596712,10.2856894731522,470,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_18","S0_baseline",203615,100
"PPF_mcmc",8,1,1,1,0.99809304751803,0.00256037756397596,21.4042181454665,0.0132964186835264,0.975,0,0.00225493314445282,0.00355379504644313,0.317102677652461,0.326325955120719,31.4283120671908,NA,147.458740180178,355.576253070149,469.291517718793,1231.00599104125,1566.11252588593,150,150,121.703896615629,"Simulation_18","S0_baseline",203615,100
"CompNMF",7,0.875,1,0.933333333333333,0.971410382284794,0.00674986032424059,112.413070319564,0.277131898517249,0,0,0.0439368466329095,0.0275561421489765,0.288294681416642,0.260247597189369,0.00917754968007406,3562,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_19","S0_baseline",147254,100
"SignatureAnalyzer",7,0.875,1,0.933333333333333,0.96497663063816,0.00660867614844021,99.1175930827465,0.277131898517249,0,0,0.0439285362668402,0.027695737046376,0.288293891232396,0.260267347923491,1.73107904195786,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_19","S0_baseline",147254,100
"PPF_map",8,1,1,1,0.997034481792652,0.00253017639696572,22.439295306387,0.0146539262046281,1,0,0.00158430696560511,0.00148524662380101,0.275144967257517,0.255163712822335,3.66473686297735,210,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_19","S0_baseline",147254,100
"PPF_mcmc",8,1,1,1,0.996498586823884,0.00382125219183018,26.5416108445925,0.0156149682017535,1,0,0.00133371072467637,0.00113349850800738,0.275141725012015,0.255168212620767,23.7084206183751,NA,131.353653864501,245.426641712259,376.358036883965,600.617610339665,1559.81716331096,150,150,195.84742747721,"Simulation_19","S0_baseline",147254,100
"CompNMF",7,0.75,0.857142857142857,0.8,0.964910808300988,0.00607738964787405,240.167786733391,0.462447512032197,0,0,0.224544745783411,0.555965084491713,0.623828798939188,1.21181122490008,0.00898219744364421,4209,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_20","S0_baseline",332361,100
"SignatureAnalyzer",8,1,1,1,0.975777568973386,0.00438214256215382,103.761195932412,0.462447512032197,0,0,0.224543618702987,0.555936600945278,0.623825791035912,1.21179268354294,1.36635193824768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_20","S0_baseline",332361,100
"PPF_map",8,1,1,1,0.998766974541188,0.000921034502318223,21.5875678027162,0.00874572342743609,0.975,0,0.00357741227720092,0.0105762990144403,0.399047601595531,0.449349720143036,19.4871570150057,580,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_20","S0_baseline",332361,100
"PPF_mcmc",8,1,1,1,0.998775290834178,0.00110971749309181,22.7175317122117,0.00859872938469911,0.975,0,0.00323525738571683,0.00626453037643245,0.399040069043914,0.449411588988711,43.1211488604546,NA,205.610884606337,451.425954322069,548.163491671104,1317.33351989269,1407.80442473821,150,150,150,"Simulation_20","S0_baseline",332361,100
