"model","rmse_counts_in","rmse_counts_out","rmse_Betas","sign_Betas","fp_Betas","attribution_acc_in","attribution_acc_out","estim_error_in","estim_error_out","brier_in","brier_out","ece_in","ece_out","mce_in","mce_out","oracle_l2_in","oracle_l2_out","oracle_kl_in","oracle_kl_out","n_mut_in","n_mut_out","Simulation","Scenario"
"map_Fixed",0.343510392746571,0.327274091153433,0.0334905426567445,0.975,0.0555555555555556,0.824546602387511,0.810772046095257,0.063596189164371,0.0724566002275088,0.251361270334328,0.269639338459339,0.00287975501959494,0.00240046939064441,0.0119903773536336,0.196275884394329,0.0181105844616688,0.0205244880564808,0.0414038541555684,0.0461734446623752,174240,40438,"Simulation_06","S1_epigenome_v025"
"map_Fixed",0.569147309983911,0.46353491874209,0.0370575416113449,0.975,0.0333333333333333,0.819365107436555,0.826663483259564,0.0765275444336369,0.0732428511083767,0.260029762961568,0.250984744878261,0.00223588683327156,0.0026221767435257,0.193779002419173,0.0315734963122244,0.0257995613323377,0.0250698912534474,0.0535294156715865,0.0536755934499287,226180,54449,"Simulation_07","S1_epigenome_v025"
"map_Fixed",0.363877264914733,0.512283582543785,0.0310661932772057,1,0.0666666666666667,0.816832599526662,0.855649601047704,0.0689051075588698,0.0530400407440642,0.262447546480083,0.208511253298789,0.0025647232768369,0.00245976745652954,0.00835493859166891,0.057766919463309,0.0215501170691606,0.0166743685317686,0.0467407278343851,0.0380427989109308,151266,41233,"Simulation_08","S1_epigenome_v025"
"map_Fixed",0.626511497651166,0.486238843988366,0.035578952064793,1,0.0222222222222222,0.846167228624212,0.836042509902383,0.0608446760390692,0.0659076643362698,0.222156278627523,0.239387554463048,0.00146498625709116,0.00355784655124837,0.188652072342264,0.0308904818703657,0.0207720648020072,0.0227194276245591,0.0446841856537139,0.0491932352085308,241418,46201,"Simulation_09","S1_epigenome_v025"
"map_Fixed",0.387461035151082,0.378608419042195,0.0362478961805782,0.975,0.0111111111111111,0.829199264898924,0.814010457408703,0.0648621685481754,0.0706698505496315,0.24526494504778,0.267883587089718,0.00200435317776467,0.00425044323531129,0.0409566839409235,0.0285654069475155,0.0198457716709067,0.0212258416637991,0.0433413350684063,0.0463293685347646,190450,48578,"Simulation_10","S1_epigenome_v025"
"map_Fixed",0.340577980343489,0.382253627035908,0.0320524457597263,0.975,0.0333333333333333,0.80490783642224,0.816042111621686,0.0754935535858179,0.0696610791103057,0.278507559398531,0.265159652873819,0.00224467807609208,0.0044047033226659,0.00693482059798878,0.0392268332048268,0.0227870620643566,0.0223077023640255,0.0520367568432768,0.0495169123136852,158848,46353,"Simulation_11","S1_epigenome_v025"
"map_Fixed",0.279749425651844,0.264312120746932,0.0300077098332195,1,0.0222222222222222,0.773686838507944,0.7799241871993,0.0666219191762096,0.0660446129173349,0.318458663799435,0.310072471429908,0.00194758428865083,0.00586217235781199,0.800173229006221,0.0128650125309459,0.0140842113468126,0.0135955120028562,0.0349133118607504,0.034498379658223,122167,27436,"Simulation_12","S1_epigenome_v025"
"map_Fixed",0.316896211325826,0.342476459003938,0.0316058768480447,1,0.0222222222222222,0.808567374014059,0.824514431996994,0.066572060328042,0.0612978228704291,0.270865518595067,0.24789382919451,0.00295703561505213,0.00601818335558549,0.0150869197244267,0.0359143435330252,0.0172229430965195,0.0160750034553707,0.0402121921253486,0.0377261697153529,151505,42579,"Simulation_13","S1_epigenome_v025"
"map_Fixed",0.353571233476686,0.385375036178359,0.0336949857420823,1,0.0555555555555556,0.824648117457576,0.838757244966924,0.0585362153077659,0.0527372150654351,0.24931973703362,0.229513395956099,0.00130638183464077,0.00365359676909119,0.19895415931597,0.0243598305369385,0.0147700362050249,0.0134804446690255,0.0345378800801437,0.0321839518444296,171364,48827,"Simulation_14","S1_epigenome_v025"
"map_Fixed",0.321214888175667,0.294491409495714,0.0321792870124308,1,0.0111111111111111,0.806266859533211,0.788822858514917,0.0669559664829222,0.0759649438741821,0.276603415459485,0.300323246566858,0.00128964486495836,0.00276544884028256,0.0290124917459449,0.191400210596607,0.0173167571461853,0.0190746584168083,0.0406414856095825,0.0453169499098552,153474,33318,"Simulation_15","S1_epigenome_v025"
"map_Fixed",0.313448650610935,0.295178365720759,0.0323715201201463,1,0.0555555555555556,0.789284270117266,0.781589205397301,0.0747405310688772,0.0789205397301349,0.297370605340643,0.308684526101786,0.00283547540325835,0.00321642791015396,0.02158494544655,0.0307944483518681,0.0197217402720525,0.02160529696334,0.0440075706455345,0.0480545438886534,148380,33350,"Simulation_16","S1_epigenome_v025"
"map_Fixed",0.346471981781339,0.36630609795262,0.0331758111925122,1,0.0222222222222222,0.80832472653866,0.800466581126793,0.070037791652974,0.0731599206812084,0.273556107948192,0.285332057887565,0.00393311171450437,0.00313150131779218,0.00934409939866843,0.030269929841254,0.0193139080319318,0.0207503823070706,0.0435420808955287,0.0461750034185094,170408,42865,"Simulation_17","S1_epigenome_v025"
"map_Fixed",0.340417090046904,0.319180717348136,0.0266822677971609,0.975,0.0222222222222222,0.793987210573263,0.803045240442546,0.0709637297888111,0.066436630518129,0.292491798100527,0.283589696987737,0.00225901324104665,0.00455576247966489,0.00976815461203107,0.0357673505010671,0.019693560983193,0.0184571991924302,0.0443755447218816,0.042366074559138,159194,36516,"Simulation_18","S1_epigenome_v025"
